fpepq	DALI_family	TMalign_family	blastp_family	devreseek-fast_family	devreseek-sensitive_family	devreseek-verysensitive_family	foldseek_family	reseek-fast_family	reseek-sensitive_family	reseek-verysensitive_family
0.01	0.04513	0.04513	0.03514	0.04487	0.04487	0.04424	0.03853	0.04487	0.04487	0.04424
0.02	0.1025	0.0908	0.07635	0.09919	0.09919	0.0991	0.08777	0.09919	0.09919	0.0991
0.03	0.1655	0.1413	0.1189	0.1465	0.1465	0.1458	0.1442	0.1465	0.1465	0.1458
0.04	0.2258	0.1895	0.1639	0.1979	0.1979	0.1975	0.2021	0.1979	0.1979	0.1975
0.05	0.2915	0.2412	0.2063	0.2469	0.2469	0.2466	0.2594	0.2469	0.2469	0.2466
0.06	0.3636	0.2904	0.2531	0.2922	0.2922	0.2919	0.3155	0.2922	0.2922	0.2919
0.07	0.4377	0.3334	0.2974	0.3368	0.3368	0.3366	0.3742	0.3368	0.3368	0.3366
0.08	0.5316	0.3734	0.335	0.3786	0.3786	0.3794	0.4404	0.3786	0.3786	0.3794
0.09	0.6158	0.4137	0.3761	0.4183	0.4183	0.4192	0.5088	0.4183	0.4183	0.4192
0.10	0.7038	0.4522	0.4153	0.4557	0.4557	0.4577	0.5746	0.4557	0.4557	0.4577
0.11	0.7978	0.495	0.4544	0.4949	0.4949	0.4961	0.6542	0.4949	0.4949	0.4961
0.12	0.8914	0.5339	0.4879	0.5298	0.5298	0.5324	0.7323	0.5298	0.5298	0.5324
0.13	0.9889	0.5762	0.5272	0.5634	0.5634	0.5654	0.8262	0.5634	0.5634	0.5654
0.14	1.101	0.619	0.5631	0.5999	0.6	0.6027	0.9161	0.5999	0.6	0.6027
0.15	1.228	0.6647	0.5999	0.6363	0.6363	0.6395	1.005	0.6363	0.6363	0.6395
0.16	1.354	0.7059	0.6358	0.669	0.6691	0.6742	1.098	0.669	0.6691	0.6742
0.17	1.466	0.7437	0.6701	0.7016	0.7017	0.7076	1.187	0.7016	0.7017	0.7076
0.18	1.584	0.7789	0.7073	0.7376	0.7374	0.7434	1.287	0.7376	0.7374	0.7434
0.19	1.699	0.826	0.7478	0.7745	0.7747	0.7801	1.384	0.7745	0.7747	0.7801
0.20	1.834	0.8781	0.7882	0.8097	0.8097	0.8155	1.486	0.8097	0.8097	0.8155
0.21	1.973	0.9293	0.8268	0.8436	0.8429	0.8497	1.592	0.8436	0.8429	0.8497
0.22	2.121	0.9806	0.8677	0.8816	0.8813	0.889	1.692	0.8816	0.8813	0.889
0.23	2.264	1.032	0.9231	0.9159	0.915	0.9226	1.801	0.9159	0.915	0.9226
0.24	2.411	1.074	0.9866	0.9554	0.9529	0.9616	1.906	0.9554	0.9529	0.9616
0.25	2.574	1.129	1.055	0.9946	0.9939	1.004	2.021	0.9946	0.9939	1.004
0.26	2.765	1.181	1.141	1.032	1.032	1.043	2.152	1.032	1.032	1.043
0.27	2.953	1.235	1.263	1.078	1.073	1.083	2.272	1.078	1.073	1.083
0.28	3.141	1.299	1.429	1.124	1.12	1.13	2.397	1.124	1.12	1.13
0.29	3.368	1.365	1.666	1.165	1.162	1.175	2.53	1.165	1.162	1.175
0.30	3.556	1.429	2.03	1.212	1.208	1.218	2.66	1.212	1.208	1.218
0.31	3.795	1.505	2.569	1.266	1.258	1.27	2.788	1.266	1.258	1.27
0.32	4.026	1.575	3.455	1.316	1.307	1.321	2.928	1.316	1.307	1.321
0.33	4.27	1.644	4.851	1.372	1.359	1.372	3.076	1.372	1.359	1.372
0.34	4.505	1.733	9.491	1.425	1.413	1.428	3.224	1.425	1.413	1.428
0.35	4.756	1.815		1.489	1.472	1.485	3.374	1.489	1.472	1.485
0.36	5.006	1.901		1.556	1.533	1.549	3.53	1.556	1.533	1.549
0.37	5.281	1.992		1.628	1.601	1.615	3.695	1.628	1.601	1.615
0.38	5.576	2.078		1.695	1.67	1.687	3.846	1.695	1.67	1.687
0.39	5.851	2.175		1.77	1.735	1.753	4.009	1.77	1.735	1.753
0.40	6.141	2.278		1.853	1.811	1.825	4.189	1.853	1.811	1.825
0.41	6.454	2.39		1.938	1.892	1.905	4.363	1.938	1.892	1.905
0.42	6.751	2.505		2.039	1.975	1.995	4.559	2.039	1.975	1.995
0.43	7.069	2.627		2.139	2.072	2.08	4.728	2.139	2.072	2.08
0.44	7.368	2.752		2.245	2.166	2.182	4.924	2.245	2.166	2.182
0.45	7.733	2.874		2.354	2.267	2.28	5.128	2.354	2.267	2.28
0.46	8.049	3		2.467	2.372	2.381	5.335	2.467	2.372	2.381
0.47	8.396	3.147		2.607	2.484	2.492	5.532	2.607	2.484	2.492
0.48	8.762	3.287		2.75	2.6	2.608	5.76	2.75	2.6	2.608
0.49	9.087	3.426		2.9	2.737	2.731	5.997	2.9	2.737	2.731
0.50	9.521	3.593		3.066	2.874	2.869	6.246	3.066	2.874	2.869
0.51	9.884	3.761		3.232	3.024	3.016	6.496	3.232	3.024	3.016
0.52		3.957		3.425	3.186	3.167	6.75	3.425	3.186	3.167
0.53		4.149		3.64	3.353	3.33	7.023	3.64	3.353	3.33
0.54		4.357		3.874	3.531	3.5	7.305	3.874	3.531	3.5
0.55		4.576		4.124	3.727	3.679	7.642	4.124	3.727	3.679
0.56		4.851		4.425	3.939	3.883	7.99	4.425	3.939	3.883
0.57		5.103		4.753	4.174	4.087	8.351	4.753	4.174	4.087
0.58		5.374		5.083	4.42	4.324	8.733	5.083	4.42	4.324
0.59		5.657		5.449	4.716	4.576	9.159	5.449	4.716	4.576
0.60		5.961		5.846	5.03	4.844	9.629	5.846	5.03	4.844
0.61		6.327		6.329	5.37	5.158		6.329	5.37	5.158
0.62		6.701		6.891	5.724	5.497		6.891	5.724	5.497
0.63		7.095		7.516	6.103	5.871		7.516	6.103	5.871
0.64		7.513		8.27	6.519	6.263		8.27	6.519	6.263
0.65		7.956		9.156	7.034	6.644		9.156	7.034	6.644
0.66		8.515			7.613	7.104			7.613	7.104
0.67		9.079			8.24	7.591			8.24	7.591
0.68		9.729			8.973	8.084			8.973	8.084
0.69					9.805	8.694			9.805	8.694
0.70						9.379				9.379
0.71										
0.72										
0.73										
0.74										
0.75										
0.76										
0.77										
0.78										
0.79										
0.80										
0.81										
0.82										
0.83										
0.84										
0.85										
0.86										
0.87										
0.88										
0.89										
0.90										
0.91										
0.92										
0.93										
0.94										
0.95										
0.96										
0.97										
0.98										
0.99										
1.00										
